163,Harry Potter,6,sectumsempra
164,Harry Potter,6,sectumsempra
165,Draco Malfoy,2,serpensortia
166,Harry Potter,7,stupefy
167,Harry Potter,7,stupefy
168,Harry Potter,7,stupefy
169,Harry Potter,7,stupefy
170,Minerva McGonagall,2,vera verto
171,Minerva McGonagall,2,vera verto
172,Ron Weasley,2,vera verto
173,Filius Flitwick,1,wingardium leviosa
174,Hermione Granger,1,wingardium leviosa
175,Ron Weasley,1,wingardium leviosa
176,Harry Potter,2,wingardium leviosa
177,Luna Lovegood,6,Episkey
